organism,experimental_design,de_gene,log_fc,log_cpm,f,p_value,fdr,id,real_differential_expression
1276135,infect48hXinfect144h,MAN_03611,-1.51421821635032,7.20430616178657,16.7033265552825,4.38157198805207E-05,0.000336503408932,,1
1276135,infect48hXinfect144h,MAN_09196,-1.51636328374692,7.61680721398995,19.655862886145,9.30407516423321E-06,8.33257825842054E-05,,1
1276135,infect48hXinfect144h,MAN_03517,-1.51732274533065,6.46991641492428,12.0277928182109,0.000524851414568,0.003000537879586,,1
1276135,infect48hXinfect144h,MAN_09191,-1.52491674713631,6.4285655498651,12.0844717371355,0.000509139990848,0.002925475361499,,1
1276135,infect48hXinfect144h,MAN_03102,-1.53070416955224,6.67946480500352,13.635790362151,0.00022230011499,0.00141085181878,,1
1276135,infect48hXinfect144h,MAN_00894,-1.5364528851499,6.23903699736817,10.7310382998383,0.001054704768176,0.005556267526151,,1
1276135,infect48hXinfect144h,MAN_01269,-1.53923425599995,7.02949500912276,16.159597118668,5.83622217247004E-05,0.000432899126815,,1
1276135,infect48hXinfect144h,MAN_05784,-1.54215095006461,8.26989236711945,24.5611404220146,7.23730367140486E-07,8.07584903114421E-06,,1
1276135,infect48hXinfect144h,MAN_09963,-1.54417263818307,8.23265185195965,24.4889926860527,7.51320790645676E-07,8.33878402623179E-06,,1
1276135,infect48hXinfect144h,MAN_07415,-1.54475847980441,7.55168452222834,19.7138305783853,9.02625230822406E-06,8.11090284507288E-05,,1
1276135,infect48hXinfect144h,MAN_08425,-1.54733986552175,6.46027207846471,12.4308894469008,0.000422907938548,0.002496086843318,,1
1276135,infect48hXinfect144h,MAN_04852,-1.55782771005926,6.38639834846873,12.139196527457,0.000494420769734,0.002853761986711,,1
1276135,infect48hXinfect144h,MAN_01352,-1.57006692386584,7.85115958106425,22.6147274550401,1.98862104522523E-06,2.02616843558962E-05,,1
1276135,infect48hXinfect144h,MAN_02343,-1.57048757495648,6.54131764857695,13.279078838261,0.000268828154709,0.001666734559197,,1
1276135,infect48hXinfect144h,MAN_08593,-1.57151949748497,7.08514711775293,17.186130273925,3.39813770818989E-05,0.00026762630491,,1
1276135,infect48hXinfect144h,MAN_08043,-1.57213419138058,9.18584249951166,30.7859435245986,2.90499829705477E-08,4.04202969054046E-07,,1
1276135,infect48hXinfect144h,MAN_10002,-1.57387881057854,7.03623347365778,16.9737730575163,3.79993704871067E-05,0.000294943363469,,1
